"","id","picked"
"1",10001,FALSE
"2",10002,TRUE
"3",10003,FALSE
"4",10004,FALSE
"5",10005,FALSE
"6",10006,FALSE
"7",10007,FALSE
"8",10008,FALSE
"9",10009,FALSE
"10",10010,FALSE
"11",10011,FALSE
"12",10012,FALSE
"13",10013,FALSE
"14",10014,FALSE
"15",10015,FALSE
"16",10016,FALSE
"17",10017,FALSE
"18",10018,FALSE
"19",10019,FALSE
"20",10020,FALSE
"21",10021,FALSE
"22",10022,FALSE
"23",10023,FALSE
"24",10024,FALSE
"25",10025,FALSE
"26",10026,FALSE
"27",10027,FALSE
"28",10028,FALSE
"29",10029,FALSE
"30",10030,FALSE
"31",10031,FALSE
"32",10032,FALSE
"33",10033,FALSE
"34",10034,FALSE
"35",10035,FALSE
"36",10036,FALSE
"37",10037,FALSE
"38",10038,TRUE
"39",10039,FALSE
"40",10040,TRUE
"41",10041,FALSE
"42",10042,FALSE
"43",10043,FALSE
"44",10044,FALSE
"45",10045,FALSE
"46",10046,FALSE
"47",10047,FALSE
"48",10048,FALSE
"49",10049,TRUE
"50",10050,FALSE
"51",10051,FALSE
"52",10052,FALSE
"53",10053,FALSE
"54",10054,FALSE
"55",10055,TRUE
"56",10056,FALSE
"57",10057,TRUE
"58",10058,FALSE
"59",10059,TRUE
"60",10060,FALSE
"61",10061,FALSE
"62",10062,FALSE
"63",10063,TRUE
"64",10064,FALSE
"65",10065,TRUE
"66",10066,FALSE
"67",10067,FALSE
"68",10068,FALSE
"69",10069,FALSE
"70",10070,FALSE
"71",10071,FALSE
"72",10072,FALSE
"73",10073,FALSE
"74",10074,FALSE
"75",10075,FALSE
"76",10076,FALSE
"77",10077,FALSE
"78",10078,FALSE
"79",10079,FALSE
"80",10080,TRUE
"81",10081,FALSE
"82",10082,FALSE
"83",10083,FALSE
"84",10084,FALSE
"85",10085,FALSE
"86",10086,FALSE
"87",10087,FALSE
"88",10088,FALSE
"89",10089,FALSE
"90",10090,FALSE
"91",10091,FALSE
"92",10092,FALSE
"93",10093,FALSE
"94",10094,FALSE
"95",10095,FALSE
"96",10096,TRUE
"97",10097,FALSE
"98",10098,FALSE
"99",10099,FALSE
"100",10100,FALSE
"101",10101,FALSE
"102",10102,FALSE
"103",10103,FALSE
"104",10104,FALSE
"105",10105,FALSE
"106",10106,FALSE
"107",10107,FALSE
"108",10108,FALSE
"109",10109,FALSE
"110",10110,FALSE
"111",10111,FALSE
"112",10112,FALSE
"113",10113,FALSE
"114",10114,TRUE
"115",10115,FALSE
"116",10116,FALSE
"117",10117,FALSE
"118",10118,TRUE
"119",10119,FALSE
"120",10120,FALSE
"121",10121,FALSE
"122",10122,FALSE
"123",10123,FALSE
"124",10124,FALSE
"125",10125,FALSE
"126",10126,FALSE
"127",10127,FALSE
"128",10128,FALSE
"129",10129,FALSE
"130",10130,FALSE
"131",10131,FALSE
"132",10132,FALSE
"133",10133,TRUE
"134",10134,FALSE
"135",10135,FALSE
"136",10136,FALSE
"137",10137,FALSE
"138",10138,FALSE
"139",10139,FALSE
"140",10140,FALSE
"141",10141,FALSE
"142",10142,FALSE
"143",10143,FALSE
"144",10144,FALSE
"145",10145,FALSE
"146",10146,FALSE
"147",10147,FALSE
"148",10148,FALSE
"149",10149,FALSE
"150",10150,FALSE
"151",10151,FALSE
"152",10152,FALSE
"153",10153,FALSE
"154",10154,FALSE
